Time,Length
21.346969,1466
21.34697,1466
21.34697,1466
21.346988,54
21.347557,83
21.347557,83
21.348162,66
21.348301,66
21.348934,1466
21.348934,1466
21.348954,54
21.349922,1466
21.349922,1466
21.349923,1466
21.349924,1466
21.349924,1466
21.349925,1466
21.349925,1466
21.349925,1466
21.349965,54
21.351909,1466
21.351909,1466
21.351925,54
21.352794,1466
21.352794,1466
21.352795,1466
21.352796,1466
21.352796,1466
21.352797,1466
21.352797,1466
21.352797,1466
21.352798,1466
21.352848,54
21.353672,1466
21.353672,1466
21.353682,54
21.354696,1466
21.354697,1466
21.354698,1466
21.354698,1466
21.354698,1466
21.354699,1466
21.3547,1466
21.3547,1466
21.3547,1466
21.354701,1466
21.354701,1466
21.354702,1466
21.354702,1466
21.354703,1466
21.35476,54
21.358694,1466
21.358975,296
21.359008,54
21.362511,898
21.362533,54
21.362595,1100
21.3634,1100
21.363401,1100
21.363401,1466
21.363402,734
21.363402,1466
21.363402,1466
21.363403,368
21.363403,1466
21.363404,1466
21.363404,1414
21.363405,1466
21.363405,734
21.363405,1466
21.363406,1466
21.363406,368
21.363407,1466
21.363504,54
21.364103,1466
21.364104,1466
21.364105,1048
21.364105,1466
21.364106,1466
21.364106,1466
21.364106,1466
21.364107,682
21.364107,1466
21.364108,1466
21.364109,1466
21.364109,1466
21.364109,1466
21.364109,316
21.36411,1466
21.36411,1466
21.36411,1466
21.364111,1466
21.364111,1466
21.364112,1466
21.364112,1466
21.364112,1466
21.364113,1466
21.364113,1466
21.364113,1466
21.364114,212
21.364197,54
21.364769,1466
21.364769,1466
21.36477,1466
21.36477,1466
21.364771,1466
21.364771,1466
21.364772,1466
21.364772,1466
21.364773,1466
21.364773,506
21.364806,54
21.367058,1466
21.367059,1466
21.367088,54
21.367412,1466
21.367413,1466
21.367414,1466
21.367415,1466
21.367415,1466
21.367444,54
21.367867,1466
21.367867,1466
21.367868,1466
21.367869,1466
21.367869,1466
21.36787,1466
21.36787,1466
21.367871,324
21.367871,1466
21.367871,1466
21.367872,1466
21.367872,1466
21.367873,1466
21.367873,1466
21.367873,1466
21.367874,1466
21.367875,1196
21.367941,54
21.368294,1466
21.368295,1466
21.368316,54
21.368772,1466
21.368772,1466
21.368774,1466
21.368774,1466
21.368775,1466
21.368775,1466
21.368776,1466
21.368777,1466
21.368777,1466
21.368831,54
21.369592,1466
21.369593,1466
21.369594,1466
21.369595,1466
21.369595,1466
21.369596,1466
21.369596,1466
21.369597,1466
21.369597,1466
21.369597,1466
21.369598,1466
21.369599,1466
21.369599,1466
21.369599,1466
21.3696,1466
21.3696,1466
21.369601,1466
21.369601,1466
21.369602,1466
21.369602,1466
21.369603,1466
21.369603,1466
21.369603,1466
21.369604,1466
21.369605,1466
21.369605,1466
21.369605,1466
21.369606,1466
21.369606,1466
21.369606,1466
21.369607,1466
21.369608,1466
21.369713,54
21.369906,1466
21.369907,1466
21.369908,1466
21.369908,1466
21.369909,1466
21.369909,1466
21.36991,1466
21.369946,54
21.37196,1466
21.37196,1466
21.371962,1466
21.371962,1466
21.371963,1466
21.371963,1466
21.371964,1466
21.371964,1466
21.371964,1466
21.371965,1466
21.371966,1466
21.371966,1466
21.371967,1466
21.371967,1466
21.371968,1466
21.371969,1466
21.371969,1466
21.371969,1466
21.371971,1466
21.371971,1466
21.371972,1466
21.371972,1466
21.371972,1466
21.371973,1466
21.371974,1466
21.371975,1466
21.371975,1466
21.371975,1466
21.371976,1466
21.371977,1466
21.371977,1466
21.371977,1466
21.37212,54
21.372259,81
21.372351,1466
21.372352,1466
21.372352,1466
21.372352,1466
21.372353,1466
21.372353,1466
21.372354,1466
21.372354,1466
21.372355,1466
21.372356,1466
21.372356,1466
21.372357,1466
21.372357,1466
21.372358,1466
21.372411,54
21.372426,84
21.372712,1466
21.372713,1466
21.372713,1466
21.372714,1466
21.372714,1466
21.372714,1466
21.372715,1466
21.372716,261
21.372746,82
21.372749,54
21.373252,1100
21.373265,54
21.373392,1100
21.374779,1466
21.374779,1466
21.374827,54
21.376366,1466
21.376367,1466
21.376368,1466
21.376368,1466
21.376369,1466
21.376369,1466
21.37637,1466
21.37637,1466
21.376371,1466
21.376371,1466
21.376372,1466
21.376372,1466
21.376373,1466
21.376373,1466
21.376374,1466
21.376374,1466
21.376374,1466
21.376375,1466
21.376375,1466
21.376376,1466
21.376377,1466
21.376377,1466
21.376377,1466
21.376378,1466
21.376378,1466
21.376378,1466
21.376379,1466
21.37638,1466
21.37638,1466
21.37638,1466
21.376383,1466
21.376383,1466
21.376493,54
21.376578,1466
21.376579,1466
21.376579,1466
21.376579,840
21.376594,54
21.379664,144
21.380806,177
21.381228,178
21.388337,1100
21.388385,54
21.388698,1100
21.388699,1100
21.3887,1466
21.388727,54
21.389003,734
21.389003,1466
21.389004,1466
21.389005,368
21.389005,1466
21.389005,1466
21.389006,1414
21.389006,1466
21.389007,1466
21.389007,368
21.389007,1466
21.389008,1466
21.389008,302
21.389062,54
21.39342,1392
21.393899,66
21.39423,66
21.394977,80
21.395013,80
21.395243,84
21.397756,66
21.397819,54
21.398063,571
21.401616,54
21.402623,157
21.402889,1466
21.403277,1466
21.403324,54
21.404623,1068
21.404623,138
21.405522,66
21.409645,1100
21.409648,1100
21.409648,1100
21.409649,1466
21.409649,734
21.40965,1466
21.40965,734
21.409651,1466
21.409652,1466
21.409653,368
21.409728,54
21.410043,180
21.410648,1466
21.410648,1466
21.410649,1414
21.41065,1466
21.41065,1466
21.410651,1466
21.410651,1048
21.410652,1466
21.410652,1466
21.410653,1466
21.410653,1466
21.410654,1466
21.410654,1362
21.410654,1466
21.410655,1466
21.410727,54
21.411603,1466
21.411603,1048
21.411604,1330
21.411646,54
21.412116,66
21.41218,54
21.413579,1100
21.41358,1100
21.413615,54
21.41365,75
21.414557,571
21.414637,1100
21.414638,1466
21.414638,734
21.414639,1466
21.414639,1466
21.414639,368
21.41464,1100
21.41464,1466
21.414641,1466
21.414641,1466
21.414642,1048
21.414642,1466
21.414642,1466
21.414643,1414
21.414643,1466
21.414644,1466
21.414644,1466
21.414645,1048
21.414645,1466
21.414646,1466
21.414646,1466
21.414647,943
21.414647,328
21.414752,54
21.416006,87
21.416153,1100
21.416428,1100
21.416447,54
21.417196,1466
21.417196,734
21.417197,1466
21.417198,713
21.417227,54
21.419683,79
21.420146,90
21.4202,90
21.420236,90
21.420271,90
21.420779,80
21.421095,90
21.421145,90
21.422546,128
21.422546,128
21.423186,90
21.423246,90
21.423861,1392
21.42433,54
21.425579,176
21.428181,54
21.428764,66
21.431027,66
21.433533,144
21.433534,144
21.434672,642
21.435438,66
21.435525,54
21.435585,54
21.435773,571
21.435824,75
21.436251,79
21.43668,1466
21.437219,66
21.437758,1466
21.437759,932
21.437808,54
21.44099,180
21.441507,78
21.441569,54
21.441569,384
21.442785,1466
21.442786,1466
21.442848,54
21.442935,1392
21.442975,1326
21.442975,126
21.443007,54
21.443857,1392
21.445079,311
21.445305,78
21.446229,144
21.447278,134
21.447773,146
21.448341,437
21.450017,1392
21.450741,66
21.45123,341
21.451231,341
21.451231,124
21.451294,54
21.452126,66
21.452213,256
21.452246,54
21.452271,85
21.453206,85
21.461266,328
21.462625,66
21.462684,54
21.462757,66
21.462802,54
21.462968,571
21.463199,571
21.468148,78
21.472069,1392
21.472138,66
21.472201,54
21.472267,1392
21.473152,66
21.473204,54
21.473616,78
21.473882,571
21.474105,571
21.47871,1392
21.482082,54
21.48314,62
21.483208,54
21.483441,571
21.494207,78
21.498043,54
21.498087,1392
21.498125,54
21.498498,70
21.502031,54
21.508081,54
21.508082,1466
21.508082,1466
21.508097,1466
21.508186,54
21.509051,1466
21.509052,189
21.509091,54
21.514027,153
21.514333,577
21.519213,180
21.52502,78
21.527048,62
21.527112,54
21.527293,571
21.528229,1392
21.528589,70
21.536971,66
21.537032,54
21.537283,571
21.554153,1466
21.554155,1466
21.554239,54
21.554683,1326
21.554685,224
21.555121,889
21.555168,54
21.555235,123
21.555266,54
21.557607,128
21.560926,54
21.563909,1454
21.563909,1466
21.56391,1442
21.563993,54
21.576302,54
21.576302,54
21.578812,1445
21.579158,1445
21.579195,54
21.579864,1445
21.579865,1132
21.579905,54
21.581839,1445
21.58184,1445
21.581842,1445
21.581892,54
21.582858,1136
21.582897,54
21.589369,212
21.591983,212
21.597325,325
21.597503,325
21.597523,54
21.597708,150
21.606899,54
21.609781,1454
21.609782,1466
21.609783,1442
21.609845,54
21.622782,54
21.623095,1466
21.623095,1466
21.623097,301
21.623183,54
21.627768,180
21.638668,54
21.641686,794
21.653087,180
21.657948,1307
21.658041,495
21.661373,78
21.66554,75
21.668,364
21.66876,244
21.669023,84
21.671585,168
21.672073,66
21.674865,257
21.675167,85
21.675196,54
21.67535,89
21.675515,144
21.67606,1392
21.678805,66
21.678878,54
21.679059,571
21.684054,791
21.685579,289
21.685619,54
21.686563,78
21.68761,1466
21.687611,1466
21.687613,950
21.687681,54
21.690529,180
21.691136,153
21.691341,395
21.692475,180
21.695896,312
21.696192,131
21.696218,54
21.696314,92
21.697515,1107
21.697818,1107
21.697845,54
21.697998,1466
21.697999,748
21.698,1107
21.698055,54
21.698712,1466
21.698729,54
21.698806,748
21.699442,1466
21.699442,1466
21.699443,389
21.699444,1466
21.699444,1466
21.699445,389
21.699496,54
21.699561,1466
21.69958,54
21.699641,318
21.700232,66
21.70054,1466
21.70054,1466
21.700586,54
21.701528,1466
21.701529,1466
21.70153,318
21.701567,54
21.703494,1466
21.704636,1466
21.704637,1466
21.704638,1466
21.704638,1466
21.704639,1466
21.704639,1466
21.704639,1466
21.70464,1466
21.70464,1466
21.704641,1466
21.704641,1466
21.704642,1466
21.704642,1466
21.704643,1466
21.704644,1466
21.704644,1466
21.704645,1466
21.704645,1466
21.704646,1466
21.704646,1466
21.704647,1466
21.704648,154
21.704648,60
21.704768,54
21.70553,99
21.705567,54
21.708514,60
21.708577,105
21.70865,99
21.708681,54
21.709745,62
21.711495,70
21.718912,54
21.721782,78
21.727101,1392
21.727338,1392
21.72773,54
21.728056,78
21.729036,312
21.731794,1392
21.732005,381
21.734298,54
21.748442,54
21.75961,58
21.759737,54
21.760141,571
21.768795,312
21.770312,54
21.777998,78
21.781847,1392
21.782129,70
21.802286,1466
21.802287,296
21.802344,54
21.806367,216
21.807965,62
21.809225,54
21.818411,1392
21.818412,1392
21.818414,1392
21.818414,1392
21.818414,1392
21.818415,1392
21.818415,1392
21.818416,1392
21.818417,1392
21.818418,1392
21.818418,1392
21.818419,741
21.81873,70
21.818839,70
21.818903,70
21.818966,70
21.819026,70
21.819091,70
21.819254,153
21.819654,577
21.823802,1392
21.824131,1392
21.824232,70
21.827205,1392
21.827207,1392
21.827207,1392
21.827207,1392
21.827208,1392
21.827208,1392
21.827315,70
21.827385,70
21.827454,70
21.837234,1392
21.837453,1392
21.837706,70
21.838085,405
21.845224,123
21.864111,70
21.882093,1434
21.883083,1434
21.883121,54
21.883277,500
21.88663,112
21.886831,146
21.886913,123
21.887193,54
21.887418,1009
21.887582,139
21.887786,139
21.887881,1434
21.887881,1272
21.887957,1434
21.887958,1277
21.88806,1434
21.88806,1274
21.898807,501
21.902988,146
21.903214,85
21.903343,665
21.927931,54
21.93185,424
21.945015,62
21.94528,54
21.945281,54
21.945603,278
21.945783,156
21.945803,54
21.945929,85
21.945998,85
21.94701,89
21.948504,89
21.948518,54
21.949697,234
21.949719,54
21.959182,755
21.959182,58
21.959424,70
21.975824,62
21.988922,784
21.989906,60
21.99001,70
22.029395,81
22.030279,83
22.037656,169
22.038268,1392
22.04287,136
22.043111,54
22.051432,1307
22.051558,495
22.070579,754
22.07091,1048
22.070937,54
22.072195,62
22.086937,62
22.088465,1392
22.089739,1392
22.091065,78
22.091533,736
22.094839,1392
22.095145,775
22.101481,80
22.102006,87
22.102477,58
22.113368,78
22.121628,62
22.125508,54
22.129393,70
22.143388,1392
22.143389,62
22.143673,70
22.15334,895
22.15334,60
22.153588,70
22.156622,97
22.158019,1358
22.159317,186
22.15947,70
22.197175,54
22.211448,238
22.216155,54
22.219667,253
22.220475,89
22.222557,1466
22.222649,85
22.222855,296
22.22289,54
22.260419,170
22.263002,54
22.263249,54
22.264657,76
22.26471,86
22.272191,121
22.272192,206
22.272725,66
22.273029,66
22.275458,81
22.276763,274
22.292307,66
22.292378,54
22.292664,571
22.295573,153
22.295791,92
22.295988,399
22.302779,150
22.314024,54
22.320192,82
22.320447,102
22.321726,62
22.321727,66
22.321824,54
22.322297,571
22.341942,1466
22.341943,1466
22.341944,1010
22.342021,54
22.343811,54
22.34465,445
22.345799,58
22.345895,70
22.346816,62
22.347526,118
22.347786,146
22.347958,324
22.348015,178
22.365272,634
22.365493,85
22.366401,85
22.369074,54
22.369383,1466
22.369384,1466
22.369431,54
22.36974,1001
22.370669,81
22.372519,92
22.375153,118
22.375851,268
22.377769,97
22.37844,1392
22.387841,54
22.40761,54
22.413607,54
22.423186,54
22.424319,78
22.424558,583
22.427661,473
22.427662,499
22.427662,1392
22.427663,1392
22.427664,325
22.427664,93
22.427755,54
22.427875,54
22.429318,78
22.429555,93
22.431203,1392
22.431601,142
22.431637,54
22.432598,88
22.441235,81
22.442906,77
22.447588,93
22.448245,1392
22.449571,54
22.462759,460
22.465046,426
22.47252,54
22.474589,78
22.480459,1392
22.480763,70
22.480963,1392
22.481014,1392
22.481058,1392
22.481099,316
22.483464,62
22.488954,819
22.492826,78
22.496875,1392
22.497054,1392
22.497991,78
22.501428,62
22.501429,62
22.501684,1392
22.502509,1129
22.502722,503
22.503326,74
22.508555,62
22.509458,310
22.509899,66
22.520346,532
22.529299,54
22.533586,1186
22.536224,151
22.536348,70
22.538896,956
22.539013,471
22.539194,152
22.539417,70
22.542933,78
22.549707,1392
22.550066,70
22.550927,62
22.55251,209
22.553267,60
22.553436,70
22.563667,205
22.564537,70
22.591529,465
22.592048,462
22.59418,66
22.594259,54
22.594561,571
22.603254,536
22.604173,54
22.605267,60
22.60559,70
22.616857,175
22.624096,181
22.624097,60
22.624313,70
22.635913,62
22.646914,75
22.65373,174
22.654488,66
22.66086,66
22.660924,1466
22.660926,1466
22.660926,1466
22.660926,225
22.660954,54
22.6615,571
22.662617,1466
22.662619,1466
22.662619,1466
22.66262,226
22.663429,54
22.664842,1466
22.666108,1466
22.666165,54
22.666374,956
22.667385,54
22.668252,180
22.668458,913
22.671519,312
22.676856,129
22.678731,54
22.679593,129
22.679594,60
22.679907,1466
22.679934,70
22.680242,1466
22.680243,301
22.680282,54
22.683967,180
22.69542,54
22.698017,1454
22.698174,1466
22.698237,54
22.698392,1442
22.698393,1466
22.698394,1442
22.698394,1466
22.698395,717
22.698418,54
